"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","id","Sepal.Area","Petal.Area","Month","Year","Region","Growth_Rate","Size_Category"
5.1,3.5,1.4,0.2,"setosa",1,17.85,0.28,"Jan",2020,"North",1.57,"Medium"
4.9,3,1.4,0.2,"setosa",2,14.7,0.28,"Feb",2021,"South",1.9,"Small"
4.7,3.2,1.3,0.2,"setosa",3,15.04,0.26,"Mar",2022,"East",1.73,"Medium"
4.6,3.1,1.5,0.2,"setosa",4,14.26,0.3,"Jan",2023,"West",2.1,"Small"
5,3.6,1.4,0.2,"setosa",5,18,0.28,"Feb",2024,"North",1.56,"Medium"
5.4,3.9,1.7,0.4,"setosa",6,21.06,0.68,"Mar",2020,"South",3.23,"Large"
4.6,3.4,1.4,0.3,"setosa",7,15.64,0.42,"Jan",2021,"East",2.69,"Medium"
5,3.4,1.5,0.2,"setosa",8,17,0.3,"Feb",2022,"West",1.76,"Medium"
4.4,2.9,1.4,0.2,"setosa",9,12.76,0.28,"Mar",2023,"North",2.19,"Small"
4.9,3.1,1.5,0.1,"setosa",10,15.19,0.15,"Jan",2024,"South",0.99,"Medium"
5.4,3.7,1.5,0.2,"setosa",11,19.98,0.3,"Feb",2020,"East",1.5,"Medium"
4.8,3.4,1.6,0.2,"setosa",12,16.32,0.32,"Mar",2021,"West",1.96,"Medium"
4.8,3,1.4,0.1,"setosa",13,14.4,0.14,"Jan",2022,"North",0.97,"Small"
4.3,3,1.1,0.1,"setosa",14,12.9,0.11,"Feb",2023,"South",0.85,"Small"
5.8,4,1.2,0.2,"setosa",15,23.2,0.24,"Mar",2024,"East",1.03,"Large"
5.7,4.4,1.5,0.4,"setosa",16,25.08,0.6,"Jan",2020,"West",2.39,"Large"
5.4,3.9,1.3,0.4,"setosa",17,21.06,0.52,"Feb",2021,"North",2.47,"Large"
5.1,3.5,1.4,0.3,"setosa",18,17.85,0.42,"Mar",2022,"South",2.35,"Medium"
5.7,3.8,1.7,0.3,"setosa",19,21.66,0.51,"Jan",2023,"East",2.35,"Large"
5.1,3.8,1.5,0.3,"setosa",20,19.38,0.45,"Feb",2024,"West",2.32,"Medium"
5.4,3.4,1.7,0.2,"setosa",21,18.36,0.34,"Mar",2020,"North",1.85,"Medium"
5.1,3.7,1.5,0.4,"setosa",22,18.87,0.6,"Jan",2021,"South",3.18,"Medium"
4.6,3.6,1,0.2,"setosa",23,16.56,0.2,"Feb",2022,"East",1.21,"Medium"
5.1,3.3,1.7,0.5,"setosa",24,16.83,0.85,"Mar",2023,"West",5.05,"Medium"
4.8,3.4,1.9,0.2,"setosa",25,16.32,0.38,"Jan",2024,"North",2.33,"Medium"
5,3,1.6,0.2,"setosa",26,15,0.32,"Feb",2020,"South",2.13,"Medium"
5,3.4,1.6,0.4,"setosa",27,17,0.64,"Mar",2021,"East",3.76,"Medium"
5.2,3.5,1.5,0.2,"setosa",28,18.2,0.3,"Jan",2022,"West",1.65,"Medium"
5.2,3.4,1.4,0.2,"setosa",29,17.68,0.28,"Feb",2023,"North",1.58,"Medium"
4.7,3.2,1.6,0.2,"setosa",30,15.04,0.32,"Mar",2024,"South",2.13,"Medium"
4.8,3.1,1.6,0.2,"setosa",31,14.88,0.32,"Jan",2020,"East",2.15,"Small"
5.4,3.4,1.5,0.4,"setosa",32,18.36,0.6,"Feb",2021,"West",3.27,"Medium"
5.2,4.1,1.5,0.1,"setosa",33,21.32,0.15,"Mar",2022,"North",0.7,"Large"
5.5,4.2,1.4,0.2,"setosa",34,23.1,0.28,"Jan",2023,"South",1.21,"Large"
4.9,3.1,1.5,0.2,"setosa",35,15.19,0.3,"Feb",2024,"East",1.97,"Medium"
5,3.2,1.2,0.2,"setosa",36,16,0.24,"Mar",2020,"West",1.5,"Medium"
5.5,3.5,1.3,0.2,"setosa",37,19.25,0.26,"Jan",2021,"North",1.35,"Medium"
